enu_low,enu_high,enu_center,local_cv,local_unweighted,local_cv_over_unweighted,paper_cv,paper_over_local
19.5,20.0,19.75,8.597788600922219e-07,7.149079911492683e-07,1.2026426767311171,7.866908e-07,0.9149920247115843
20.0,21.0,20.5,7.875426881931335e-07,6.608423785359701e-07,1.1917254609758157,7.224039e-07,0.9172885620427992
21.0,22.0,21.5,7.097064252561531e-07,6.001866831862225e-07,1.1824761280748868,6.5325385e-07,0.9204564405123179
22.0,23.0,22.5,6.218906484348806e-07,5.415273104809683e-07,1.1484012650858477,5.7266885e-07,0.9208513609928729
23.0,24.0,23.5,5.472788706592243e-07,4.850798758409938e-07,1.1282242325769436,5.0107455e-07,0.9155744481719732
24.0,25.0,24.5,4.823909496164662e-07,4.371367486748675e-07,1.1035241284993353,4.4072605e-07,0.9136283554871986
25.0,26.0,25.5,4.1980107014364017e-07,3.908626328807436e-07,1.0740373594928068,3.8423449999999996e-07,0.9152775619855598
26.0,27.0,26.5,3.79949122454072e-07,3.5532218325122093e-07,1.0693087579770928,3.4805979999999997e-07,0.9160694930729132
27.0,28.0,27.5,3.458428729319376e-07,3.1899064755147217e-07,1.0841787230647022,3.164659e-07,0.9150568792038717
28.0,29.0,28.5,3.1603519045326997e-07,2.8327218011894454e-07,1.1156591173922141,2.911126e-07,0.9211398249115075
29.0,30.0,29.5,2.888717617538928e-07,2.5226010241584454e-07,1.1451345614602773,2.6669485e-07,0.9232292155548708
30.0,35.0,32.5,2.1328164822071808e-07,1.8383870718266618e-07,1.1601563756037336,1.9799914999999999e-07,0.9283459296746303
35.0,40.0,37.5,1.4684682366946814e-07,1.0283105209041019e-07,1.4280396892211005,1.3344060000000002e-07,0.9087060698047942
40.0,45.0,42.5,1.1154498779982232e-07,5.88072589161814e-08,1.896789441568915,1.037751e-07,0.9303430126886015
45.0,50.0,47.5,7.470667231057937e-08,3.445408004276568e-08,2.1682968234197717,6.980455500000001e-08,0.9343818007285922
50.0,55.0,52.5,4.129744248232662e-08,2.0699346738766337e-08,1.9951084932059024,3.825238e-08,0.9262651074911052
55.0,60.0,57.5,1.5654781061887698e-08,1.1882064077187306e-08,1.3175136037133257,1.2566295e-08,0.8027129188407008
60.0,70.0,65.0,6.1477475581060115e-09,5.222381776842653e-09,1.1771922890369029,5.7564315e-09,0.9363480600972224
70.0,80.0,75.0,1.7583261826539215e-09,1.5070702345937782e-09,1.1667181411275553,1.5774904999999998e-09,0.8971546437527432
80.0,90.0,85.0,4.1997115031606453e-10,3.986812453440645e-10,1.0534008188763098,3.245598e-10,0.7728145129867628
90.0,100.0,95.0,3.200053311709065e-44,3.4742651220391234e-44,0.9210734354754373,6.928244e-11,2.1650401806274305e+33
