bytes	mtime_epoch	mime	shape	category	lane	git_blob	blob_in_canonical	cited_in_canonical_records	inspection	path
880192	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	8259ab9c7e483317abaa516cbdac6af735454ee0	False			nd-unfolding/p3f_pet_fullevent/work/MuonResolution_1_1E/p3f_pet_validation_MuonResolution_1_1E.json.domain.json
873688	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	ab4f3436ca7cc48b32f963c01a87d80db761ff96	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINOS_0_1E/p3f_pet_validation_Muon_Energy_MINOS_0_1E.json.domain.json
718190	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	33c8de4e1524274145decad513c2aef4875fb675	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINOS_1_1A/p3f_pet_validation_Muon_Energy_MINOS_1_1A.json.domain.json
714514	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	19c13c76e5572f8cae0ea89585953b7c6f041ded	False			nd-unfolding/p3f_pet_fullevent/work/MuonResolution_0_1A/p3f_pet_validation_MuonResolution_0_1A.json.domain.json
712506	1786035047	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	94f6a6e4fb7072a27a0741c90aa59d68b89145da	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleX_0_1A/p3f_pet_validation_BeamAngleX_0_1A.json.domain.json
712025	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	63d160f654f1e227145d88cce012093c07c6ecc1	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleY_1_1A/p3f_pet_validation_BeamAngleY_1_1A.json.domain.json
711987	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	1f3bf2b9e6406724136b4f5de6895f1e5d0307a5	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINERvA_1_1A/p3f_pet_validation_Muon_Energy_MINERvA_1_1A.json.domain.json
711959	1786035047	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	3a02677f13558005938a51a2c060515010dbeb63	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleY_0_1A/p3f_pet_validation_BeamAngleY_0_1A.json.domain.json
711934	1786035047	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	1b25c4edbf177cadda04a494f3812ef7238e60e7	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleX_1_1A/p3f_pet_validation_BeamAngleX_1_1A.json.domain.json
711823	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	a334313afe45a7ee54e91285a9f03a4beede8fe7	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINERvA_0_1A/p3f_pet_validation_Muon_Energy_MINERvA_0_1A.json.domain.json
