pt_low,pt_high,paper_pt_low,paper_pt_high,pz_low,pz_high,reported,ours,published,ratio
1.5,2.5,1.5,2.5,3.5,4.0,False,0.0,0.0,nan
1.5,2.5,1.5,2.5,4.0,4.5,True,4.1965898863643206e-41,4.693337600388137e-41,0.8941589639784839
1.5,2.5,1.5,2.5,4.5,5.0,True,1.190270711450682e-40,1.2026242255213026e-40,0.9897278685989669
1.5,2.5,1.5,2.5,5.0,6.0,True,1.3167968466667538e-40,1.2876005786715222e-40,1.0226749416541538
1.5,2.5,1.5,2.5,6.0,7.0,True,1.1996318139274544e-40,1.2370795833816111e-40,0.9697288921770161
1.5,2.5,1.5,2.5,7.0,8.0,True,1.0565097539150577e-40,1.0820545275664402e-40,0.9763923416051563
1.5,2.5,1.5,2.5,8.0,9.0,True,9.820070025089042e-41,9.91500234515209e-41,0.99042538602026
1.5,2.5,1.5,2.5,9.0,10.0,True,9.021521397226586e-41,9.032053314161798e-41,0.9988339399061454
1.5,2.5,1.5,2.5,10.0,15.0,True,6.682565995810146e-41,6.482985413782431e-41,1.0307852893827925
1.5,2.5,1.5,2.5,15.0,20.0,True,4.020534955529667e-41,3.847604119344955e-41,1.0449450699242293
1.5,2.5,1.5,2.5,20.0,40.0,True,1.3764889419880316e-41,1.26759529188747e-41,1.0859056915069614
1.5,2.5,1.5,2.5,40.0,60.0,True,2.304120406316782e-42,2.400789086268582e-42,0.9597346220437685
2.5,4.5,2.5,4.5,1.5,2.0,False,0.0,0.0,nan
2.5,4.5,2.5,4.5,2.0,2.5,False,0.0,0.0,nan
2.5,4.5,2.5,4.5,2.5,3.0,False,0.0,0.0,nan
2.5,4.5,2.5,4.5,3.0,3.5,False,0.0,0.0,nan
2.5,4.5,2.5,4.5,3.5,4.0,False,0.0,0.0,nan
2.5,4.5,2.5,4.5,4.0,4.5,False,0.0,0.0,nan
2.5,4.5,2.5,4.5,4.5,5.0,False,0.0,0.0,nan
2.5,4.5,2.5,4.5,5.0,6.0,False,0.0,0.0,nan
2.5,4.5,2.5,4.5,6.0,7.0,True,1.847982255384563e-44,1.7460247517132394e-44,1.0583940769289097
2.5,4.5,2.5,4.5,7.0,8.0,True,1.0904243010395935e-42,1.1835821221136665e-42,0.9212916287484052
2.5,4.5,2.5,4.5,8.0,9.0,True,2.3473779820038705e-42,2.3617788614919177e-42,0.9939025284192143
2.5,4.5,2.5,4.5,9.0,10.0,True,3.061412195947988e-42,2.927180403703893e-42,1.0458570274911123
