JobID|JobIDRaw|JobName|Account|QOS|Partition|State|ExitCode|Submit|Start|End|ElapsedRaw|NNodes|NCPUS|AllocTRES|WorkDir
58566629|58566629|pet-port-80g|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-18T21:52:44|2026-09-18T21:59:47|2026-09-18T22:11:55|728|1|32|billing=32,cpu=32,energy=716853,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-profile6-exec-20260919
58585495|58585495|pet-prod-validate|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-19T08:10:39|2026-09-19T08:13:12|2026-09-19T08:14:37|85|1|32|billing=32,cpu=32,energy=48573,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-validate-exec-20260920
58585574|58585574|pet-validate-80g|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-19T08:15:35|2026-09-19T08:17:21|2026-09-19T08:18:37|76|1|32|billing=32,cpu=32,energy=51834,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb
58585575|58585575|pet-40g-confirm|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-19T08:15:35|2026-09-19T08:17:21|2026-09-19T08:21:26|245|1|32|billing=32,cpu=32,energy=193027,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb
58585924|58585924|pet-prod-validate|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-19T08:33:23|2026-09-19T08:36:26|2026-09-19T08:39:40|194|1|32|billing=32,cpu=32,energy=111410,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-validate2-exec-20260920
58586140|58586140|pet-prod-validate|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-19T08:45:44|2026-09-19T08:48:17|2026-09-19T08:51:26|189|1|32|billing=32,cpu=32,energy=93222,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-fp32-exec-20260920
58586142|58586142|pet-fp32-timing|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-19T08:45:44|2026-09-19T08:48:17|2026-09-19T08:54:12|355|1|32|billing=32,cpu=32,energy=164355,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-fp32-exec-20260920
58586294|58586294|pet-knn-census|m3246|shared|shared_milan_ss11|COMPLETED|0:0|2026-09-19T08:54:37|2026-09-19T09:02:07|2026-09-19T09:06:29|262|1|26|billing=26,cpu=26,energy=148035,mem=48G,node=1|/pscratch/sd/j/josephrb/pet-knn-exec-20260920
58586380|58586380|pet-prod-validate|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-19T09:00:22|2026-09-19T09:02:05|2026-09-19T09:05:10|185|1|32|billing=32,cpu=32,energy=202643,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-rp-exec
58586479|58586479|pet-prod-validate|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-19T09:07:35|2026-09-19T09:09:36|2026-09-19T09:12:39|183|1|32|billing=32,cpu=32,energy=205967,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-tf32off-exec
58586480|58586480|pet-tf32off-timing|m3246_g|gpu_shared|shared_gpu_ss11|COMPLETED|0:0|2026-09-19T09:07:35|2026-09-19T09:09:36|2026-09-19T09:12:58|202|1|32|billing=32,cpu=32,energy=184715,gres/gpu:a100=1,gres/gpu=1,mem=56G,node=1|/pscratch/sd/j/josephrb/pet-tf32off-exec
58586838_1|58586839|pet-r4-extract|m3246|shared|shared_milan_ss11|COMPLETED|0:0|2026-09-19T09:32:15|2026-09-19T09:33:56|2026-09-19T09:36:43|167|1|26|billing=26,cpu=26,energy=83205,mem=48G,node=1|/pscratch/sd/j/josephrb
58586838_2|58586840|pet-r4-extract|m3246|shared|shared_milan_ss11|COMPLETED|0:0|2026-09-19T09:32:15|2026-09-19T09:33:56|2026-09-19T09:35:08|72|1|26|billing=26,cpu=26,energy=36145,mem=48G,node=1|/pscratch/sd/j/josephrb
58586838_3|58586881|pet-r4-extract|m3246|shared|shared_milan_ss11|COMPLETED|0:0|2026-09-19T09:32:15|2026-09-19T09:33:56|2026-09-19T09:35:49|113|1|26|billing=26,cpu=26,energy=59754,mem=48G,node=1|/pscratch/sd/j/josephrb
58586838_4|58586882|pet-r4-extract|m3246|shared|shared_milan_ss11|COMPLETED|0:0|2026-09-19T09:32:15|2026-09-19T09:33:56|2026-09-19T09:38:26|270|1|26|billing=26,cpu=26,energy=133636,mem=48G,node=1|/pscratch/sd/j/josephrb
58586838_5|58586883|pet-r4-extract|m3246|shared|shared_milan_ss11|COMPLETED|0:0|2026-09-19T09:32:15|2026-09-19T09:33:56|2026-09-19T09:38:11|255|1|26|billing=26,cpu=26,energy=159247,mem=48G,node=1|/pscratch/sd/j/josephrb
58586838_6|58586884|pet-r4-extract|m3246|shared|shared_milan_ss11|COMPLETED|0:0|2026-09-19T09:32:15|2026-09-19T09:33:56|2026-09-19T09:38:55|299|1|26|billing=26,cpu=26,energy=180502,mem=48G,node=1|/pscratch/sd/j/josephrb
58586838_7|58586885|pet-r4-extract|m3246|shared|shared_milan_ss11|COMPLETED|0:0|2026-09-19T09:32:15|2026-09-19T09:33:56|2026-09-19T09:38:06|250|1|26|billing=26,cpu=26,energy=160830,mem=48G,node=1|/pscratch/sd/j/josephrb
58586838_8|58586886|pet-r4-extract|m3246|shared|shared_milan_ss11|COMPLETED|0:0|2026-09-19T09:32:15|2026-09-19T09:33:56|2026-09-19T09:34:43|47|1|26|billing=26,cpu=26,energy=16709,mem=48G,node=1|/pscratch/sd/j/josephrb
58586838_9|58586887|pet-r4-extract|m3246|shared|shared_milan_ss11|COMPLETED|0:0|2026-09-19T09:32:15|2026-09-19T09:33:57|2026-09-19T09:40:35|398|1|26|billing=26,cpu=26,energy=246108,mem=48G,node=1|/pscratch/sd/j/josephrb
